from,to,carrier,departure,days_to_departure,price
Moscow,Simferopol,Аэрофлот,2015-05-18,86,4457
Moscow,Simferopol,Аэрофлот,2015-05-18,89,7907
Moscow,Simferopol,Аэрофлот,2015-05-17,0,3712
Moscow,Simferopol,Аэрофлот,2015-05-17,1,3972
Moscow,Simferopol,Аэрофлот,2015-05-17,2,4500
Moscow,Simferopol,Аэрофлот,2015-05-17,3,4375
Moscow,Simferopol,Аэрофлот,2015-05-17,4,3156
Moscow,Simferopol,Аэрофлот,2015-05-17,6,3750
Moscow,Simferopol,Аэрофлот,2015-05-17,8,3562
Moscow,Simferopol,Аэрофлот,2015-05-17,9,3884
Moscow,Simferopol,Аэрофлот,2015-05-17,13,3900
Moscow,Simferopol,Аэрофлот,2015-05-17,14,3750
Moscow,Simferopol,Аэрофлот,2015-05-17,15,4882
Moscow,Simferopol,Аэрофлот,2015-05-17,17,3525
Moscow,Simferopol,Аэрофлот,2015-05-17,18,3469
Moscow,Simferopol,Аэрофлот,2015-05-17,21,3750
Moscow,Simferopol,Аэрофлот,2015-05-17,22,3750
Moscow,Simferopol,Аэрофлот,2015-05-17,23,3300
Moscow,Simferopol,Аэрофлот,2015-05-17,25,3750
Moscow,Simferopol,Аэрофлот,2015-05-17,26,3521
Moscow,Simferopol,Аэрофлот,2015-05-17,29,4000
Moscow,Simferopol,Аэрофлот,2015-05-17,31,4062
Moscow,Simferopol,Аэрофлот,2015-05-17,33,3902
Moscow,Simferopol,Аэрофлот,2015-05-17,36,4243
Moscow,Simferopol,Аэрофлот,2015-05-17,38,3906
Moscow,Simferopol,Аэрофлот,2015-05-17,40,3860
Moscow,Simferopol,Аэрофлот,2015-05-17,41,4760
Moscow,Simferopol,Аэрофлот,2015-05-17,42,3909
Moscow,Simferopol,Аэрофлот,2015-05-17,44,3909
Moscow,Simferopol,Аэрофлот,2015-05-17,45,4508
Moscow,Simferopol,Аэрофлот,2015-05-17,46,4640
Moscow,Simferopol,Аэрофлот,2015-05-17,47,4640
Moscow,Simferopol,Аэрофлот,2015-05-17,50,4640
Moscow,Simferopol,Аэрофлот,2015-05-17,54,4640
Moscow,Simferopol,Аэрофлот,2015-05-17,55,5308
Moscow,Simferopol,Аэрофлот,2015-05-17,62,4640
Moscow,Simferopol,Аэрофлот,2015-05-17,66,4640
Moscow,Simferopol,Аэрофлот,2015-05-17,68,5868
Moscow,Simferopol,Аэрофлот,2015-05-17,72,5760
Moscow,Simferopol,Аэрофлот,2015-05-17,80,5868
Moscow,Simferopol,Аэрофлот,2015-05-17,83,5458
Moscow,Simferopol,Аэрофлот,2015-05-17,85,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,0,4047
Moscow,Simferopol,Аэрофлот,2015-05-16,1,3876
Moscow,Simferopol,Аэрофлот,2015-05-16,2,4105
Moscow,Simferopol,Аэрофлот,2015-05-16,3,3911
Moscow,Simferopol,Аэрофлот,2015-05-16,4,3879
Moscow,Simferopol,Аэрофлот,2015-05-16,7,3125
Moscow,Simferopol,Аэрофлот,2015-05-16,8,4500
Moscow,Simferopol,Аэрофлот,2015-05-16,9,3750
Moscow,Simferopol,Аэрофлот,2015-05-16,10,4500
Moscow,Simferopol,Аэрофлот,2015-05-16,11,3750
Moscow,Simferopol,Аэрофлот,2015-05-16,12,3562
Moscow,Simferopol,Аэрофлот,2015-05-16,14,3750
Moscow,Simferopol,Аэрофлот,2015-05-16,15,3750
Moscow,Simferopol,Аэрофлот,2015-05-16,16,3750
Moscow,Simferopol,Аэрофлот,2015-05-16,19,3750
Moscow,Simferopol,Аэрофлот,2015-05-16,20,4500
Moscow,Simferopol,Аэрофлот,2015-05-16,21,4500
Moscow,Simferopol,Аэрофлот,2015-05-16,22,3750
Moscow,Simferopol,Аэрофлот,2015-05-16,27,4500
Moscow,Simferopol,Аэрофлот,2015-05-16,30,3998
Moscow,Simferopol,Аэрофлот,2015-05-16,31,3902
Moscow,Simferopol,Аэрофлот,2015-05-16,32,3902
Moscow,Simferopol,Аэрофлот,2015-05-16,35,3902
Moscow,Simferopol,Аэрофлот,2015-05-16,36,4760
Moscow,Simferopol,Аэрофлот,2015-05-16,38,3907
Moscow,Simferopol,Аэрофлот,2015-05-16,39,4368
Moscow,Simferopol,Аэрофлот,2015-05-16,40,4297
Moscow,Simferopol,Аэрофлот,2015-05-16,42,3909
Moscow,Simferopol,Аэрофлот,2015-05-16,43,4122
Moscow,Simferopol,Аэрофлот,2015-05-16,44,4239
Moscow,Simferopol,Аэрофлот,2015-05-16,46,5868
Moscow,Simferopol,Аэрофлот,2015-05-16,47,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,50,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,52,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,54,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,60,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,61,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,63,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,64,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,66,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,71,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,74,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,75,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,78,4640
Moscow,Simferopol,Аэрофлот,2015-05-16,84,4640
Moscow,Simferopol,Аэрофлот,2015-05-15,0,3954
Moscow,Simferopol,Аэрофлот,2015-05-15,1,3823
Moscow,Simferopol,Аэрофлот,2015-05-15,2,4125
Moscow,Simferopol,Аэрофлот,2015-05-15,3,3721
Moscow,Simferopol,Аэрофлот,2015-05-15,4,4500
Moscow,Simferopol,Аэрофлот,2015-05-15,5,3000
Moscow,Simferopol,Аэрофлот,2015-05-15,6,3638
Moscow,Simferopol,Аэрофлот,2015-05-15,7,6062
Moscow,Simferopol,Аэрофлот,2015-05-15,9,3808
Moscow,Simferopol,Аэрофлот,2015-05-15,10,3750
